District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
Ahmednagar,Black,280,45,350,7.8,600,20,Sugarcane,NPK
Ahmednagar,Black,285,46,355,7.9,610,25,Cotton,Urea
Ahmednagar,Black,290,47,360,8,620,30,Wheat,DAP
Ahmednagar,Black,295,48,365,8.1,630,35,Jowar,NPK
Ahmednagar,Black,300,49,370,8.2,640,40,Toor,DAP
Akola,Black,275,42,340,7.7,650,20,Cotton,Urea
Akola,Black,280,43,345,7.8,660,25,Soybean,NPK
Akola,Black,285,44,350,7.9,670,30,Jowar,DAP
Akola,Black,290,45,355,8,680,35,Wheat,NPK
Akola,Black,295,46,360,8.1,690,40,Toor,Urea
Amravati,Black,270,40,330,7.6,750,20,Cotton,Urea
Amravati,Black,275,41,335,7.7,760,25,Toor,NPK
Amravati,Black,280,42,340,7.8,770,30,Wheat,DAP
Amravati,Black,285,43,345,7.9,780,35,Soybean,NPK
Amravati,Black,290,44,350,8,790,40,Jowar,DAP
Aurangabad,Black,265,38,325,7.5,680,20,Bajra,NPK
Aurangabad,Black,270,39,330,7.6,690,25,Cotton,Urea
Aurangabad,Black,275,40,335,7.7,700,30,Jowar,DAP
Aurangabad,Black,280,41,340,7.8,710,35,Wheat,NPK
Aurangabad,Black,285,42,345,7.9,720,40,Toor,Urea
Beed,Black,260,36,320,7.4,600,20,Jowar,DAP
Beed,Black,265,37,325,7.5,610,25,Cotton,Urea
Beed,Black,270,38,330,7.6,620,30,Toor,NPK
Beed,Black,275,39,335,7.7,630,35,Bajra,DAP
Beed,Black,280,40,340,7.8,640,40,Wheat,Urea
Bhandara,Red,230,50,300,6.8,1200,20,Rice,Urea
Bhandara,Red,235,51,305,6.9,1210,25,Wheat,DAP
Bhandara,Red,240,52,310,7,1220,30,Toor,NPK
Bhandara,Red,245,53,315,7.1,1230,35,Soybean,Urea
Bhandara,Red,250,54,320,7.2,1240,40,Jowar,DAP
Buldhana,Black,275,41,335,7.7,680,20,Cotton,Urea
Buldhana,Black,280,42,340,7.8,690,25,Jowar,DAP
Buldhana,Black,285,43,345,7.9,700,30,Soybean,NPK
Buldhana,Black,290,44,350,8,710,35,Wheat,Urea
Buldhana,Black,295,45,355,8.1,720,40,Toor,DAP
Chandrapur,Red,245,48,315,6.9,1150,20,Rice,Urea
Chandrapur,Red,250,49,320,7,1160,25,Wheat,DAP
Chandrapur,Red,255,50,325,7.1,1170,30,Toor,NPK
Chandrapur,Red,260,51,330,7.2,1180,35,Soybean,Urea
Chandrapur,Red,265,52,335,7.3,1190,40,Jowar,DAP
Dhule,Black,270,39,330,7.6,650,20,Cotton,Urea
Dhule,Black,275,40,335,7.7,660,25,Bajra,NPK
Dhule,Black,280,41,340,7.8,670,30,Jowar,DAP
Dhule,Black,285,42,345,7.9,680,35,Wheat,Urea
Dhule,Black,290,43,350,8,690,40,Toor,NPK
Gadchiroli,Red,225,55,295,6.7,1300,20,Rice,Urea
Gadchiroli,Red,230,56,300,6.8,1310,25,Toor,NPK
Gadchiroli,Red,235,57,305,6.9,1320,30,Wheat,DAP
Gadchiroli,Red,240,58,310,7,1330,35,Soybean,Urea
Gadchiroli,Red,245,59,315,7.1,1340,40,Jowar,NPK
Gondia,Red,235,53,305,6.9,1220,20,Rice,Urea
Gondia,Red,240,54,310,7,1230,25,Wheat,DAP
Gondia,Red,245,55,315,7.1,1240,30,Toor,NPK
Gondia,Red,250,56,320,7.2,1250,35,Soybean,Urea
Gondia,Red,255,57,325,7.3,1260,40,Jowar,DAP
Hingoli,Black,255,35,315,7.3,620,20,Cotton,Urea
Hingoli,Black,260,36,320,7.4,630,25,Jowar,DAP
Hingoli,Black,265,37,325,7.5,640,30,Toor,NPK
Hingoli,Black,270,38,330,7.6,650,35,Bajra,Urea
Hingoli,Black,275,39,335,7.7,660,40,Wheat,DAP
Jalgaon,Black,285,44,345,7.9,720,20,Banana,NPK
Jalgaon,Black,290,45,350,8,730,25,Cotton,Urea
Jalgaon,Black,295,46,355,8.1,740,30,Wheat,DAP
Jalgaon,Black,300,47,360,8.2,750,35,Jowar,NPK
Jalgaon,Black,305,48,365,8.3,760,40,Toor,Urea
Jalna,Black,265,37,325,7.5,660,20,Jowar,DAP
Jalna,Black,270,38,330,7.6,670,25,Cotton,Urea
Jalna,Black,275,39,335,7.7,680,30,Toor,NPK
Jalna,Black,280,40,340,7.8,690,35,Bajra,DAP
Jalna,Black,285,41,345,7.9,700,40,Wheat,Urea
Kolhapur,Black,90,60,115,7.5,1500,35,Sugarcane,MOP
Kolhapur,Black,95,60,115,7.5,1500,35,Sugarcane,MOP
Kolhapur,Black,100,60,115,7.5,1500,35,Sugarcane,MOP
Kolhapur,Black,20,25,25,6.5,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,25,25,25,6.5,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,30,25,25,6.5,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,35,25,25,6.5,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,40,25,25,6.5,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,20,30,30,7,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,25,30,30,7,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,30,30,30,7,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,35,30,30,7,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,40,30,30,7,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,20,35,35,7.5,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,25,35,35,7.5,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,30,35,35,7.5,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,35,35,35,7.5,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,40,35,35,7.5,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,20,25,40,6.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,25,25,40,6.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,30,25,40,6.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,35,25,40,6.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,40,25,40,6.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,20,30,25,7,700,25,Jowar,Urea
Kolhapur,Black,25,30,25,7,700,25,Jowar,Urea
Kolhapur,Black,30,30,25,7,700,25,Jowar,Urea
Kolhapur,Black,35,30,25,7,700,25,Jowar,Urea
Kolhapur,Black,40,30,25,7,700,25,Jowar,Urea
Kolhapur,Black,20,35,30,7.5,800,30,Jowar,Urea
Kolhapur,Black,25,35,30,7.5,800,30,Jowar,Urea
Kolhapur,Black,30,35,30,7.5,800,30,Jowar,Urea
Kolhapur,Black,35,35,30,7.5,800,30,Jowar,Urea
Kolhapur,Black,40,35,30,7.5,800,30,Jowar,Urea
Kolhapur,Black,20,25,35,6.5,600,25,Jowar,Urea
Kolhapur,Black,25,25,35,6.5,600,25,Jowar,Urea
Kolhapur,Black,30,25,35,6.5,600,25,Jowar,Urea
Kolhapur,Black,35,25,35,6.5,600,25,Jowar,Urea
Kolhapur,Black,40,25,35,6.5,600,25,Jowar,Urea
Kolhapur,Black,20,30,40,7,700,30,Jowar,Urea
Kolhapur,Black,25,30,40,7,700,30,Jowar,Urea
Kolhapur,Black,30,30,40,7,700,30,Jowar,Urea
Kolhapur,Black,35,30,40,7,700,30,Jowar,Urea
Kolhapur,Black,40,30,40,7,700,30,Jowar,Urea
Kolhapur,Black,20,35,25,7.5,800,25,Jowar,SSP
Kolhapur,Black,25,35,25,7.5,800,25,Jowar,SSP
Kolhapur,Black,30,35,25,7.5,800,25,Jowar,SSP
Kolhapur,Black,35,35,25,7.5,800,25,Jowar,SSP
Kolhapur,Black,40,35,25,7.5,800,25,Jowar,SSP
Kolhapur,Black,20,25,30,6.5,600,30,Jowar,SSP
Kolhapur,Black,25,25,30,6.5,600,30,Jowar,SSP
Kolhapur,Black,30,25,30,6.5,600,30,Jowar,SSP
Kolhapur,Black,35,25,30,6.5,600,30,Jowar,SSP
Kolhapur,Black,40,25,30,6.5,600,30,Jowar,SSP
Kolhapur,Black,20,30,35,7,700,25,Jowar,SSP
Kolhapur,Black,25,30,35,7,700,25,Jowar,SSP
Kolhapur,Black,30,30,35,7,700,25,Jowar,SSP
Kolhapur,Black,35,30,35,7,700,25,Jowar,SSP
Kolhapur,Black,40,30,35,7,700,25,Jowar,SSP
Kolhapur,Black,20,35,40,7.5,800,30,Jowar,SSP
Kolhapur,Black,25,35,40,7.5,800,30,Jowar,SSP
Kolhapur,Black,30,35,40,7.5,800,30,Jowar,SSP
Kolhapur,Black,35,35,40,7.5,800,30,Jowar,SSP
Kolhapur,Black,40,35,40,7.5,800,30,Jowar,SSP
Kolhapur,Black,40,20,20,6,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,45,20,20,6,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,50,20,20,6,600,25,Jowar,10:26:26 NPK
Kolhapur,Black,40,25,25,6.5,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,45,25,25,6.5,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,50,25,25,6.5,700,30,Jowar,10:26:26 NPK
Kolhapur,Black,40,20,25,7,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,45,20,25,7,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,50,20,25,7,800,25,Jowar,10:26:26 NPK
Kolhapur,Black,40,25,20,7.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,45,25,20,7.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Black,50,25,20,7.5,600,30,Jowar,10:26:26 NPK
Kolhapur,Red ,100,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,105,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,110,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,115,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,120,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,125,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,130,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,135,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,140,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,145,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,150,40,50,6,800,25,Cotton,DAP
Kolhapur,Red ,100,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,105,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,110,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,115,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,120,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,125,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,130,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,135,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,140,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,145,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,150,45,55,6.5,900,30,Cotton,DAP
Kolhapur,Red ,100,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,105,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,110,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,115,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,120,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,125,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,130,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,135,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,140,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,145,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,150,50,60,7,1000,35,Cotton,DAP
Kolhapur,Red ,100,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,105,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,110,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,115,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,120,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,125,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,130,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,135,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,140,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,145,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,150,55,65,7.5,800,25,Cotton,DAP
Kolhapur,Red ,100,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,105,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,110,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,115,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,120,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,125,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,130,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,135,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,140,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,145,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,150,60,70,6,900,30,Cotton,DAP
Kolhapur,Red ,100,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,105,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,110,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,115,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,120,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,125,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,130,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,135,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,140,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,145,40,75,6.5,1000,35,Cotton,DAP
Kolhapur,Red ,150,40,75,6.5,1000,35,Cotton,DAP
